scenario_id,scenario_name,topology,own_main_claim,enemy_argument,mdp_state,mdp_action,hint_A,hint_B,_hidden_A_is_mdp,rating_A_actionable_1to5,rating_B_actionable_1to5,rater_notes
BIP-13,Triple support stack,BIP,Public museums should be free.,Funding is hard.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,Challenge the argument by asking how the difficulty of funding bears on the merits or feasibility of the proposal at hand.,"To counter the emotional undertone of ""Funding is hard"", consider responding with a logical argument that breaks down the specific financial constraints and explores alternative solutions or budget allocations.",False,,,
LIN-09,Seven-node chain odd depth,LIN,Soda taxes work.,Bulk buying offsets that.,"('WINNING', 'LOW', 'ZERO')",DEFENSIVE_REINFORCE,"You can counter by asking how bulk buying actually addresses the underlying issue being offset, rather than just mitigating its symptoms.","You can support your claim by citing examples of cities or countries that have implemented soda taxes and subsequently seen significant reductions in soda consumption and corresponding improvements in public health outcomes, such as Mexico's 2014 sugar-sweetened beverage tax.",False,,,
LIN-03,Three-node chain,LIN,Drink more coffee.,Coffee disrupts sleep.,"('TIED', 'LOW', 'ZERO')",DEFENSIVE_REINFORCE,"You can counter by asking for clarification on the scope and context of the statement, such as ""for whom"" and ""under what circumstances"" coffee disrupts sleep.","You can support your claim by citing numerous scientific studies that have found moderate coffee consumption to be associated with various physical and mental health benefits, such as improved cognitive function, increased alertness, and a lower risk of certain diseases.",False,,,
LNG-05,Crypto debate (10 nodes),LNG,Crypto will replace banks.,"Banks have insurance, crypto does not.","('LOSING', 'HIGH', 'ZERO')",STEP_BACK,You can counter by pointing out that this comparison ignores the fundamentally different risk profiles and purposes of traditional banking and cryptocurrency systems.,"You should RESTATE your main claim, as you can argue that crypto's decentralized and transparent nature, combined with emerging alternatives like decentralized finance (DeFi) insurance protocols, can potentially mitigate the need for traditional insurance mechanisms.",False,,,
STR-04,Star with heavy Fact attackers,STR,Working from home is more productive.,Loneliness is widespread among WFH workers.,"('LOSING', 'HIGH', 'ZERO')",STEP_BACK,"You should not abandon your main claim, but rather restate it to acknowledge the potential drawback of loneliness and argue that its negative impact on productivity can be mitigated with proper management and support.",Ask for evidence that loneliness is more prevalent among WFH workers compared to traditional office workers.,True,,,
STR-02,"Three attackers, varied values",STR,Drone delivery should be legal.,Birds get killed.,"('LOSING', 'HIGH', 'ZERO')",STEP_BACK,"Point out that the statement lacks context and relevance to the debate topic, and ask how it supports their claim or position.","You should RESTATE your main claim, as the issue of bird strikes can be addressed through mitigation strategies and regulations, allowing you to refine your argument and strengthen your position.",False,,,
STR-01,Two attackers on root,STR,We should ban single-use plastics.,Alternatives are not cost-comparable.,"('LOSING', 'HIGH', 'ZERO')",STEP_BACK,"You can challenge this argument by asking for a clear definition of ""cost-comparable"" and requesting specific examples or data to support the claim that alternatives are not comparable.","You should RESTATE your main claim, as addressing the cost-comparability of alternatives presents an opportunity to provide additional evidence or context that can strengthen your argument for banning single-use plastics.",False,,,
LIN-10,Lightweight reply to heavy attacker,LIN,Crypto will replace fiat.,Bitcoin uses massive electricity.,"('LOSING', 'HIGH', 'ZERO')",STEP_BACK,You can counter by asking what specific percentage of global electricity Bitcoin uses and whether that necessarily makes it an unsustainable or unjustifiable amount.,"You should RESTATE your main claim, as the issue of Bitcoin's electricity usage can be addressed by highlighting the development of more energy-efficient cryptocurrencies and the overall benefits of crypto, rather than abandoning your stance entirely.",False,,,
LNG-12,Drug decriminalisation (10 nodes),LNG,All drugs should be decriminalised.,Public opinion is opposed.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,"To counter the argument based on public opinion, you could shift the focus to a logical analysis of the issue, examining the underlying facts and principles rather than relying on emotional or popular appeal.","You can challenge this argument by asking for evidence that the current public opinion is informed, consistent, and relevant to the issue at hand.",True,,,
LIN-08,Six-node chain even depth,LIN,Always carry an umbrella.,10% error in a year is 36 days.,"('TIED', 'HIGH', 'ZERO')",VALUE_REFRAME,"You may want to respond with a Logic-based argument to challenge the mathematical validity of the statement, such as questioning the calculation or assumptions behind the claim that a 10% error in a year equals 36 days.",Ask your opponent to clarify and justify the mathematical calculation behind their statement.,True,,,
LNG-01,Climate debate (12 nodes),LNG,We must phase out fossil fuels by 2050.,Transition timelines need decades.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,"To counter the argument that transition timelines need decades, you could shift the focus to Ethics by highlighting the moral imperative to act swiftly in the face of pressing issues.","You can challenge this argument by asking for evidence that a decades-long timeline is necessarily optimal or required, rather than simply convenient or traditional.",True,,,
BIP-07,Counter via support,BIP,Universal healthcare is feasible.,Wait times will explode.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,"To effectively counter the claim that ""wait times will explode"", you could respond with a logical argument that analyzes the underlying systems and processes to demonstrate how wait times can be managed and mitigated.","Ask for evidence or data to support the claim that wait times will ""explode,"" as this assertion appears to be an unsubstantiated prediction.",True,,,
LIN-07,Heavy defender saves claim,LIN,EVs are the future.,Batteries are environmentally costly.,"('WINNING', 'LOW', 'ZERO')",DEFENSIVE_REINFORCE,You can challenge this argument by asking for specific data or comparisons to alternative energy storage methods to determine if batteries are indeed more environmentally costly than the alternatives.,"You can support your claim by highlighting the increasing investment and adoption of electric vehicles by major automobile manufacturers, governments, and consumers worldwide, which demonstrates a significant shift in the industry and market towards EVs.",False,,,
BIP-10,Bipolar with cycle-like,BIP,Voting should be mandatory.,Quality is already a problem.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,"To effectively counter this argument, you may want to shift the focus to Ethics, highlighting the moral implications of prioritizing or neglecting quality in the given context.","Ask your opponent to clarify and provide evidence to support their claim that quality is already a problem, as a bare assertion lacks concrete proof.",True,,,
STR-14,Two-step star,STR,We need more public libraries.,Funding is tight.,"('TIED', 'HIGH', 'ZERO')",VALUE_REFRAME,"To effectively counter the claim ""Funding is tight"", you could shift the focus to the ethical implications of prioritizing or deprioritizing the issue at hand, emphasizing the moral obligations and values that should guide budgetary decisions.","Ask your opponent to clarify how ""tight"" funding specifically relates to the issue at hand and what criteria they're using to determine its impact.",True,,,
LIN-04,Four-node alternating,LIN,Going vegan is healthier.,Supplement absorption varies.,"('TIED', 'HIGH', 'ZERO')",VALUE_REFRAME,"To counter the factual statement about supplement absorption, you could shift to a logical argument by discussing the overarching principles or mechanisms that govern supplement absorption, examining the implications of variable absorption rates.","Point out that acknowledging variation in supplement absorption doesn't necessarily address the argument's relevance, efficacy, or comparison to alternatives.",True,,,
LNG-13,Open borders (12 nodes),LNG,Borders should be fully open.,Vetting at entry is impractical at scale.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,"To counter this practicality-based argument, you could shift to an Ethics-based response, emphasizing the moral imperative to ensure the safety and security of a community, regardless of the scale.","You can challenge this argument by asking for evidence that the scale of entry vetting is the primary factor making it impractical, rather than other potential factors such as resources or methodology.",True,,,
LNG-03,Education policy (11 nodes),LNG,Standardised testing should be abolished.,Universities need rankings.,"('WINNING', 'LOW', 'ZERO')",DEFENSIVE_REINFORCE,"You can reinforce your claim by highlighting the numerous studies that have shown that standardised testing can have a narrow and limiting effect on education, prioritising rote memorisation over critical thinking and creativity, thereby undermining the overall quality of learning.",Ask your opponent to clarify what specific problems university rankings solve and whether the benefits outweigh the potential drawbacks.,True,,,
LIN-15,Edge case zero weight attackers,LIN,AI tutors help students.,AI tutors lack empathy.,"('WINNING', 'HIGH', 'ZERO')",VALUE_REFRAME,"To effectively counter this argument, you could shift to an Emotional value type, highlighting the potential benefits of AI tutors, such as increased accessibility and personalized learning experiences, which can evoke a sense of excitement and opportunity.","Counter by asking how human tutors consistently demonstrate empathy, and whether empathy is the only factor in effective tutoring.",True,,,
LNG-09,Nuclear power (11 nodes),LNG,We should expand nuclear power.,Public opposition is high.,"('TIED', 'LOW', 'ZERO')",DEFENSIVE_REINFORCE,Ask for evidence or data to quantify and contextualize the claimed level of public opposition.,"You can support your claim by highlighting the significant reduction in greenhouse gas emissions that nuclear power provides compared to fossil fuels, making it a crucial component in the global effort to mitigate climate change.",False,,,
