id,name,topology,n_args,n_attacks,n_supports,expected,engine,score,agreement,iters,reasoning
LIN-01,Plain unattacked claim,LIN,1,0,0,IN,IN,1.0,Y,1,"No attackers, root survives by default."
LIN-02,Single attack on root,LIN,2,1,0,OUT,OUT,0.423,Y,2,"Classical Dung: a2 is undefeated, defeats a1."
LIN-03,Three-node chain,LIN,3,2,0,IN,IN,0.563,Y,3,a3 defeats a2; a1 has no surviving attacker.
LIN-04,Four-node alternating,LIN,4,3,0,OUT,IN,0.508,N,4,"Grounded: a4 IN, a3 OUT, a2 IN, a1 OUT."
LIN-05,Five-node deep chain,LIN,5,4,0,IN,IN,0.564,Y,5,"Grounded: a5 IN, a4 OUT, a3 IN, a2 OUT, a1 IN."
LIN-06,Heavy attacker weight asymmetry,LIN,2,1,0,OUT,OUT,0.172,Y,2,Heavy fact-based attacker easily defeats lightweight claim.
LIN-07,Heavy defender saves claim,LIN,3,2,0,IN,IN,0.779,Y,3,"a3 defeats a2 cleanly, a1 survives."
LIN-08,Six-node chain even depth,LIN,6,5,0,OUT,OUT,0.492,Y,6,Grounded alternates: even chain ends with root defeated.
LIN-09,Seven-node chain odd depth,LIN,7,6,0,IN,IN,0.647,Y,7,Odd-depth grounded chain: root survives.
LIN-10,Lightweight reply to heavy attacker,LIN,3,2,0,IN,OUT,0.26,N,3,Even a weak defender succeeds under attack-only chain semantics.
LIN-11,Single Emotion vs Fact root,LIN,2,1,0,IN,IN,0.692,Y,2,Emotion attacker scaled by mu=0.8/1.2 is too weak.
LIN-12,Fact attacks Emotion root,LIN,2,1,0,OUT,OUT,0.323,Y,2,Fact attacker scaled by mu=1.2/0.8 hits hard.
LIN-13,Light Fact defends against Emotion,LIN,3,2,0,IN,IN,0.617,Y,3,Even a small Fact attacker defeats the Emotion claim.
LIN-14,Eight-node chain even,LIN,8,7,0,OUT,IN,0.653,N,8,Even-depth chain: root defeated.
LIN-15,Edge case zero weight attackers,LIN,2,1,0,IN,IN,0.954,Y,2,Minimum-weight Emotion attacker cannot defeat heavy Logic root.
